"DOTA_Tooltip_ability_item_heavy_crossbow"									"Heavy Crossbow"
"DOTA_Tooltip_ability_item_heavy_crossbow_Description"						"<h1>Active: Cursed Shot</h1>Owner shots from crossbow into selected target, when bolt contant with target it stuns enemy for %stun_duration%  seconds and dealing %damage%  + %attack_to_dmg%%  damage from attack. Heals owner in depends of dealed damage.\n<h1>Passive: Critical Strike</h1> Each owner attack have chance %crit_chance%%  to deal %crit_damage%%  critical damage on attack."
"DOTA_Tooltip_ability_item_heavy_crossbow_lore"								"Enchanted crossbow of deserted guard in synergy with cursed bolt becomes really deadly weapon that can scare even gods in them fights."
"DOTA_Tooltip_Ability_item_heavy_crossbow_Note0"							"Cursed Shot doesn't applies attack modifiers."

"DOTA_Tooltip_ability_item_heavy_crossbow_bonus_damage"						"+$damage"
"DOTA_Tooltip_ability_item_heavy_crossbow_bonus_stats"						"+$all"
"DOTA_Tooltip_ability_item_heavy_crossbow_bonus_as"							"+$attack"
"DOTA_Tooltip_ability_item_heavy_crossbow_bonus_hp"							"+$health"
"DOTA_Tooltip_ability_item_heavy_crossbow_bonus_attack_range"				"+$attack_range"

"DOTA_Tooltip_ability_item_heavy_crossbow_projectile_speed"					"PROJECTILE SPEED:"
"DOTA_Tooltip_ability_item_heavy_crossbow_abilitycastrange"					"CAST RANGE:"

"DOTA_Tooltip_modifier_heavy_crossbow_stun"									"Heavy Crossbow Stun"
